Analysis ID,Date,md_tear
6271,04.11.2011,25
6271,04.11.2011,15
6298,05.14.2011,10
6298,05.14.2011,14
6298,05.14.2011,14
6298,05.14.2011,14
6317,06.20.2011,15
6337,07.08.2011,14.4
6337,07.08.2011,14.3
6337,07.08.2011,14.4
6337,07.08.2011,12.7
6337,07.05.2011,13.07
6337,07.05.2011,13.02
6345,07.08.2011,12.14
6345,07.08.2011,12.14
6345,07.05.2011,13.1
6345,07.05.2011,13.1
6350,07.12.2011,12
6350,07.12.2011,11.6
6350,07.12.2011,10.3
6354,07.20.2011,15
6354,07.20.2011,13
6354,07.20.2011,17
6354,07.20.2011,20
6358,08.04.2011,13.6
6358,08.04.2011,15
6358,08.04.2011,16.4
6358,08.04.2011,15.2
6371,08.10.2011,9.97
6371,08.10.2011,11.81
6371,08.10.2011,14.66
6371,08.10.2011,14.74
6371,08.10.2011,13.47
6371,08.10.2011,17.6
6380,10.06.2011,16.2
6380,10.06.2011,16.6
6380,10.06.2011,12.4
6380,10.06.2011,12.5
6474,12.05.2011,17
6474,12.05.2011,15
6474,12.05.2011,17
6474,12.05.2011,12
6504,01.26.2012,11.3
6504,01.26.2012,24.4
6504,01.27.2012,13.5
6504,01.27.2012,24.7
6618,06.21.2012,14
6618,06.21.2012,13
6617,06.21.2012,9
6639,07.17.2012,14
6639,07.17.2012,12
6639,07.17.2012,11
6639,07.17.2012,10
6706,10.12.2012,12.45
6829,04.24.2013,5.8
6829,04.24.2013,8.3
6829,04.24.2013,7.29
6829,04.24.2013,6.8
6829,04.24.2013,7.61
6829,04.24.2013,5.7
6829,04.24.2013,5.79
6829,04.24.2013,7.5
6829,04.24.2013,5.6
6829,04.24.2013,7.62
6829,04.24.2013,7.32
6883,07.24.2013,8.78
6883,07.24.2013,10.6
6883,07.24.2013,12.7
6883,07.24.2013,9.78
6900,08.20.2013,
6900,08.20.2013,
6900,08.20.2013,
6900,08.20.2013,
6900,08.20.2013,
6900,08.20.2013,
6900,08.29.2013,18
6900,08.29.2013,22
6900,08.29.2013,19
6900,08.29.2013,21
6900,08.29.2013,18
6900,08.29.2013,13
6920,09.24.2013,19.6
6922,09.24.2013,12.07
6922,09.24.2013,13.5
6922,09.24.2013,13
6922,09.24.2013,12
6922,09.24.2013,25.8
6922,09.24.2013,14.3
6922,09.24.2013,14.5
6924,09.24.2013,25.3
6924,09.24.2013,14
6924,09.24.2013,15.7
6924,09.24.2013,16.7
6924,09.24.2013,15.6
6924,09.24.2013,14.9
6925,09.24.2013,10.5
7014,02.12.2014,16.6
7014,02.12.2014,12.16
7029,03.13.2014,
7029,03.13.2014,
7029,03.13.2014,
7029,03.13.2014,
7029,03.13.2014,
7044,04.16.2014,18.5
7063,05.23.2014,12
8006,08.29.2014,15
8006,08.29.2014,18
8006,08.29.2014,13
8006,08.29.2014,12
8014,09.05.2014,17.7
8014,09.05.2014,11.06
8014,09.05.2014,12.7
8014,09.05.2014,14.5
8014,09.05.2014,13.9
